id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Late Night Texts,Velvet Pulse,r&b,romantic,0.52,96,0.73,0.70,0.42
12,Broken Compass,Hollow Pine,country,sad,0.44,88,0.32,0.48,0.83
13,Drop the Floor,DJ Kairox,electronic,energetic,0.95,140,0.80,0.92,0.03
14,Elegy in D Minor,Clara Voss,classical,sad,0.22,66,0.28,0.30,0.97
15,Concrete Jungle,RAQuel,hip-hop,intense,0.88,105,0.55,0.76,0.08
16,Rust and Roses,Iron Veil,metal,angry,0.97,168,0.25,0.44,0.06
17,Porch Swing Memory,Slow Stereo,folk,nostalgic,0.33,84,0.62,0.46,0.91
18,Neon Bounce,Max Pulse,electronic,happy,0.89,128,0.86,0.91,0.04
19,Silk and Smoke,Velvet Pulse,r&b,relaxed,0.47,92,0.68,0.65,0.38
20,Ghost of Highway 9,Hollow Pine,country,nostalgic,0.51,100,0.40,0.52,0.76
